"","x"
"2437","370.1771_2.56225"
"2438","275.1404_1.153167"
"2439","387.1699_1.779083"
"2440","481.2314_2.442"
"2441","293.648_1.658833"
"2442","481.2449_1.745167"
"2443","256.1638_2.565333"
"2444","491.1562_1.947125"
"2445","263.1653_2.596167"
"2446","303.0764_2.343333"
"2447","247.0952_2.528333"
"2448","565.3022_1.708167"
"2449","388.2591_2.522167"
"2450","579.2794_2.084333"
"2451","467.2515_2.152167"
"2452","644.3815_1.652667"
"2453","429.2101_1.558625"
"2454","576.4021_2.193792"
"2455","363.2173_1.7575"
"2456","236.6393_2.065833"
"2457","304.1188_1.874667"
"2458","469.23_2.602333"
"2459","573.3074_2.614667"
"2460","314.1016_1.939417"
"2461","565.3026_1.6465"
"2462","610.3602_1.4245"
"2463","525.2711_1.30425"
"2464","625.274_0.962"
"2465","496.2697_1.689667"
"2466","524.2596_1.597167"
"2467","462.2508_2.315583"
"2468","323.0801_2.531417"
"2469","527.2507_1.714333"
"2470","283.1937_2.294"
"2471","480.299_1.384417"
"2472","351.1748_2.435833"
"2473","309.0895_1.7205"
"2474","441.2086_2.577667"
"2475","261.1131_1.517"
"2476","323.0815_2.405"
"2477","464.3006_1.769833"
"2478","438.9808_0.7245833"
"2479","537.2684_2.415792"
"2480","440.9794_0.7245833"
"2481","528.2112_1.552458"
"2482","566.3068_1.936333"
"2483","624.2712_0.8818333"
"2484","389.2701_2.790417"
"2485","405.2291_1.483083"
"2486","499.2919_2.3495"
"2487","476.2919_2.537583"
"2488","527.2103_1.4985"
"2489","572.3472_2.485167"
"2490","464.3013_1.459958"
"2491","607.1964_1.184"
"2492","623.3441_2.398833"
"2493","541.266_1.338167"
"2494","429.1951_1.513917"
"2495","586.3372_1.973333"
"2496","493.2449_2.861333"
"2497","328.153_1.48"
"2498","459.1596_2.852083"
"2499","624.2657_0.9912916"
"2500","447.3127_2.454333"
"2501","233.0819_1.973333"
"2502","540.2756_2.847458"
"2503","555.2479_0.7338333"
"2504","465.3053_1.412167"
"2505","490.274_2.656291"
"2506","446.2916_1.893167"
"2507","458.9489_0.7184167"
"2508","369.1741_2.516"
"2509","596.3568_2.63625"
"2510","542.2695_1.356667"
"2511","342.0526_2.466667"
"2512","421.2152_2.454333"
"2513","341.0542_2.4605"
"2514","520.3218_2.226167"
"2515","546.3055_1.436833"
"2516","565.3009_2.472833"
"2517","325.6429_2.331"
"2518","623.3068_0.6721666"
"2519","497.2764_1.399833"
"2520","308.1801_2.392667"
"2521","538.2606_1.4245"
"2522","445.26_2.445083"
"2523","315.1353_1.122333"
"2524","599.3433_1.799125"
"2525","371.1735_2.532187"
"2526","253.1445_2.257"
"2527","455.2578_1.500042"
"2528","437.2195_0.7091666"
"2529","392.1517_0.7338333"
"2530","233.1197_2.454333"
"2531","627.3459_1.575583"
"2532","362.1306_1.517"
"2533","409.1328_1.288833"
"2534","376.9816_0.7338333"
"2535","515.2883_1.800667"
"2536","251.1289_2.553"
"2537","425.2547_0.8016667"
"2538","439.2617_2.3495"
"2539","570.3419_2.269333"
"2540","325.0023_1.412167"
"2541","624.3401_1.6465"
"2542","317.2336_2.824333"
"2543","251.9664_1.782167"
"2544","450.2938_2.563792"
"2545","337.1279_2.824333"
"2546","509.1989_1.661917"
"2547","318.1201_2.096667"
"2548","637.3995_2.58075"
"2549","587.3598_2.778083"
"2550","640.3411_1.4245"
"2551","506.3_2.71025"
"2552","311.1978_2.2015"
"2553","516.2898_1.819167"
"2554","467.1724_1.84075"
"2555","396.1067_1.936333"
"2556","600.9966_1.177833"
"2557","510.2316_1.564045"
"2558","515.2867_1.837667"
"2559","277.1804_2.6085"
"2560","627.3438_1.813"
"2561","438.2502_2.479"
"2562","627.3738_1.504667"
"2563","269.1397_2.290917"
"2564","503.3238_2.701"
"2565","248.14_1.754417"
"2566","537.2661_1.648042"
"2567","621.261_1.245667"
"2568","426.2585_1.325833"
"2569","243.0638_2.102833"
"2570","571.1896_1.934792"
"2571","475.288_2.568417"
"2572","510.1957_1.665"
"2573","281.1375_2.2015"
"2574","325.643_2.4235"
"2575","413.1777_0.6968334"
"2576","645.3787_1.652667"
"2577","331.1901_2.250833"
"2578","524.2999_2.331"
"2579","387.1852_1.190167"
"2580","543.2722_1.34125"
"2581","569.2498_2.093583"
"2582","389.1338_1.251833"
"2583","327.0526_2.337167"
"2584","445.2408_2.411167"
"2585","623.2699_1.356667"
"2586","497.2785_1.332"
"2587","315.1068_1.930167"
"2588","434.2577_1.7575"
"2589","318.0878_2.6825"
"2590","262.1212_1.862333"
"2591","270.2439_2.050417"
"2592","248.0996_2.537583"
"2593","426.2583_1.726667"
"2594","414.2039_1.973333"
"2595","518.3104_2.781167"
"2596","271.1201_1.652667"
"2597","312.1678_1.621833"
"2598","387.1831_1.6465"
"2599","394.0099_1.569417"
"2600","513.2699_1.492333"
"2601","433.2811_2.681344"
"2602","425.2496_1.094583"
"2603","323.1846_2.651667"
"2604","437.1102_1.529333"
"2605","449.3112_1.880833"
"2606","329.0992_2.537583"
"2607","492.188_1.6095"
"2608","377.234_2.374167"
"2609","334.2109_2.2755"
"2610","523.2578_1.594083"
"2611","427.1584_2.0535"
"2612","355.0504_2.491333"
"2613","469.2267_2.324833"
"2614","307.1298_2.2755"
"2615","589.3683_2.778083"
"2616","624.2665_1.365917"
"2617","467.2411_2.448167"
"2618","432.2324_2.6085"
"2619","452.1807_2.556083"
"2620","316.9803_2.725667"
"2621","301.6528_2.001083"
"2622","493.3515_2.664"
"2623","474.2906_2.546833"
"2624","534.2778_2.586916"
"2625","465.3091_1.776"
"2626","614.2256_2.065833"
"2627","413.2008_1.421417"
"2628","265.1406_1.887"
"2629","505.309_2.22925"
"2630","298.98_0.6690834"
"2631","359.1116_1.504667"
"2632","573.2909_2.611583"
"2633","544.1803_1.207125"
"2634","463.1799_1.184"
"2635","363.2142_2.329458"
"2636","315.1412_1.418333"
"2637","239.1268_1.486167"
"2638","245.0488_1.458417"
"2639","440.2391_0.8448334"
"2640","254.1479_2.257"
"2641","269.1352_0.8209375"
"2642","266.148_2.442"
"2643","233.1194_1.920917"
"2644","351.1338_2.762667"
"2645","467.2525_2.537583"
"2646","496.3_2.480542"
"2647","403.2498_2.010333"
"2648","492.3409_2.818167"
"2649","438.2206_0.851"
"2650","453.1769_2.701"
"2651","468.2692_1.93325"
"2652","365.147_1.865417"
"2653","499.2906_2.26625"
"2654","328.25_1.7575"
"2655","376.2786_2.337167"
"2656","249.1109_2.775"
"2657","549.3087_2.694833"
"2658","567.3887_2.343333"
"2659","244.9941_1.769833"
"2660","312.6693_1.621833"
"2661","462.2859_1.134667"
"2662","358.1766_2.855167"
"2663","495.2063_1.854625"
"2664","445.233_1.695833"
"2665","462.1775_1.21175"
"2666","545.2354_1.880833"
"2667","449.2917_2.661687"
"2668","556.3638_2.657833"
"2669","528.2639_1.95175"
"2670","443.2299_2.429667"
"2671","637.3568_1.900875"
"2672","584.3596_2.778083"
"2673","604.333_1.742854"
"2674","606.1931_1.184"
"2675","482.248_1.739"
"2676","539.2608_1.449167"
"2677","363.218_1.7945"
"2678","374.99_2.491333"
"2679","385.2156_1.948667"
"2680","572.3483_2.269333"
"2681","544.2472_2.074698"
"2682","418.2201_2.158333"
"2683","273.1107_2.707167"
"2684","365.9987_0.7215"
"2685","628.3466_1.58175"
"2686","543.2822_0.7893333"
"2687","520.3223_2.281667"
"2688","343.0519_2.4605"
"2689","316.1097_1.95175"
"2690","415.1981_1.6465"
"2691","470.23_2.337167"
"2692","437.1129_1.48"
"2693","571.346_2.503667"
"2694","323.0539_2.3865"
"2695","353.1736_2.4605"
"2696","491.2867_2.405"
"2697","462.1774_1.288833"
"2698","490.2744_1.788333"
"2699","304.117_1.813"
"2700","554.3397_2.6455"
"2701","570.3381_1.652667"
"2702","477.2698_2.331"
"2703","497.3008_2.472833"
"2704","464.1845_1.184"
"2705","479.307_2.808917"
"2706","312.2258_2.775"
"2707","437.2461_2.152167"
"2708","259.1916_1.948667"
"2709","421.2235_1.122333"
"2710","577.2056_1.825333"
"2711","591.2739_1.291917"
"2712","424.0566_2.4605"
"2713","247.155_0.9805"
"2714","345.1118_1.483083"
"2715","241.0505_2.392667"
"2716","405.0844_2.5345"
"2717","543.9998_1.159333"
"2718","246.0828_2.7195"
"2719","429.1884_1.986438"
"2720","501.1605_1.940958"
"2721","479.2299_1.418333"
"2722","619.33_1.961"
"2723","505.3058_2.72451"
"2724","327.1005_1.48925"
"2725","483.1703_1.708167"
"2726","226.1441_1.973333"
"2727","583.3099_2.109"
"2728","463.1802_1.356667"
"2729","253.1446_2.744167"
"2730","241.181_2.725667"
"2731","459.2723_2.287833"
"2732","280.0674_2.491333"
"2733","482.2497_1.56325"
"2734","509.2392_1.954833"
"2735","637.3622_2.281667"
"2736","561.2285_1.301167"
"2737","479.2296_1.695833"
"2738","478.2026_2.318667"
"2739","539.2498_2.183"
"2740","501.3099_2.884459"
"2741","265.0196_2.457417"
"2742","398.2086_2.528333"
"2743","540.2503_2.189167"
"2744","566.3009_2.109"
"2745","540.2535_1.073"
"2746","626.1863_1.200958"
"2747","335.1871_2.577667"
"2748","465.2495_1.917833"
"2749","384.1565_1.506208"
"2750","539.2504_1.0545"
"2751","527.2886_1.464583"
"2752","542.3602_2.734917"
"2753","319.6635_1.665"
"2754","264.629_1.948667"
"2755","226.1138_1.365917"
"2756","468.2567_2.1645"
"2757","527.2701_2.701"
"2758","488.1931_1.566333"
"2759","540.2734_2.620833"
"2760","509.2743_1.439917"
"2761","383.0999_2.633167"
"2762","531.2803_1.510833"
"2763","611.3793_1.735917"
"2764","233.1199_1.991833"
"2765","621.2534_1.0545"
"2766","545.1832_1.159333"
"2767","579.3525_2.799667"
"2768","271.0981_2.750333"
"2769","639.2325_0.9558333"
"2770","361.2014_1.171667"
"2771","303.1603_2.82125"
"2772","264.1301_1.862333"
"2773","236.1293_2.068917"
"2774","269.1516_1.190167"
"2775","462.1775_1.3505"
"2776","267.1134_2.762667"
"2777","640.3885_2.725667"
"2778","328.6542_1.4985"
"2779","611.3804_2.43275"
"2780","257.1759_1.7945"
"2781","252.1325_2.546833"
"2782","381.2531_2.306333"
"2783","324.0851_2.4605"
"2784","450.2802_1.924"
"2785","271.143_2.343333"
"2786","422.2271_1.13775"
"2787","239.1651_2.687125"
"2788","466.253_2.096667"
"2789","331.2139_2.472833"
"2790","459.7723_2.753417"
"2791","466.1992_1.939417"
"2792","376.1827_2.781167"
"2793","428.181_1.685812"
"2794","364_0.7184167"
"2795","481.245_0.8386667"
"2796","353.1317_2.781167"
"2797","492.2901_2.411167"
"2798","384.157_1.307333"
"2799","245.0488_1.560167"
"2800","384.1539_2.0165"
"2801","330.0987_1.5355"
"2802","556.3246_2.435833"
"2803","544.1801_1.369"
"2804","457.1827_2.781167"
"2805","377.1323_0.6960624"
"2806","515.2432_2.352583"
"2807","545.3101_2.852083"
"2808","398.2094_2.668625"
"2809","420.2101_1.332"
"2810","413.1736_1.060667"
"2811","309.6689_2.0535"
"2812","437.2462_2.065833"
"2813","431.2298_2.577667"
"2814","371.1769_1.924"
"2815","622.2562_1.0545"
"2816","301.0971_2.633167"
"2817","426.2581_1.578667"
"2818","427.1353_1.8315"
"2819","333.2099_2.261625"
"2820","339.0539_2.454333"
"2821","474.1696_1.8315"
"2822","471.272_2.688667"
"2823","446.2607_2.454333"
"2824","570.3285_2.685583"
"2825","372.1758_2.861333"
"2826","269.0821_2.701"
"2827","533.1694_2.787333"
"2828","279.0189_1.190167"
"2829","471.2286_2.260083"
"2830","391.1732_2.725667"
"2831","301.0674_2.300167"
"2832","420.1942_1.7205"
"2833","262.0821_2.454333"
"2834","459.95_0.7245833"
"2835","517.2977_1.782167"
"2836","289.2018_2.059667"
"2837","239.1652_2.5345"
"2838","396.063_1.510833"
"2839","255.0696_1.899333"
"2840","440.2565_2.380333"
"2841","484.1869_1.594083"
"2842","342.0522_2.405"
"2843","461.1825_2.5715"
"2844","389.1923_1.455333"
"2845","246.0522_1.4615"
"2846","443.1285_1.523167"
"2847","637.3525_1.967167"
"2848","516.2819_2.707167"
"2849","580.2988_2.334083"
"2850","445.1866_1.439917"
"2851","473.1787_2.852083"
"2852","281.1798_2.522167"
"2853","504.3286_2.8305"
"2854","442.2599_2.149083"
"2855","255.6214_1.739"
"2856","467.3024_2.3125"
"2857","528.2847_1.677333"
"2858","288.088_1.455333"
"2859","625.3523_1.7945"
"2860","411.1013_2.466667"
"2861","494.2493_1.964083"
"2862","390.2735_2.799667"
"2863","577.3_2.479771"
"2864","444.2747_1.8685"
"2865","594.3423_2.442"
"2866","254.1476_2.713333"
"2867","330.1021_2.466667"
"2868","294.1494_1.677333"
"2869","543.2275_2.45125"
"2870","398.1723_2.374167"
"2871","463.2299_1.702"
"2872","543.2778_0.8448334"
"2873","527.2897_0.9126667"
"2874","336.1909_2.491333"
"2875","441.1859_1.825333"
"2876","251.0926_2.516"
"2877","464.302_1.652667"
"2878","646.3208_1.621833"
"2879","577.2061_1.936333"
"2880","429.1279_2.364917"
"2881","463.2052_1.557083"
"2882","349.1277_1.751333"
"2883","406.2349_1.964083"
"2884","422.2193_2.45125"
"2885","378.1332_0.6783333"
"2886","649.0593_1.19325"
"2887","465.2494_1.954833"
"2888","488.1935_1.677333"
"2889","539.2505_0.925"
"2890","308.037_2.4605"
"2891","411.1863_2.318667"
"2892","261.0798_2.5345"
"2893","321.1322_2.812"
"2894","489.199_1.566333"
"2895","594.3414_2.741083"
"2896","514.2902_2.072"
"2897","467.2676_2.546833"
"2898","327.0725_0.7276667"
"2899","425.2007_2.6455"
"2900","540.2527_0.9404167"
"2901","348.6845_1.418333"
"2902","327.1444_1.82225"
"2903","293.0939_1.097667"
"2904","290.1035_0.777"
"2905","637.2233_1.04525"
"2906","290.1016_0.7276666"
"2907","327.1355_1.880833"
"2908","413.1743_0.8571666"
"2909","424.2428_1.0915"
"2910","242.0539_2.3865"
"2911","271.1099_1.473833"
"2912","398.1674_2.405"
"2913","489.2697_2.707167"
"2914","496.2088_1.84075"
"2915","497.3494_2.6455"
"2916","467.2521_2.102833"
"2917","320.1651_1.658833"
"2918","362.2058_1.134667"
"2919","492.2418_2.047333"
"2920","649.3703_1.319667"
"2921","566.36_2.716417"
"2922","389.27_2.529875"
"2923","541.2574_1.036"
"2924","441.2701_2.0165"
"2925","613.3593_2.724125"
"2926","379.9933_1.214833"
"2927","466.2564_1.996458"
"2928","568.3218_1.97025"
"2929","442.2531_0.7708333"
"2930","269.0855_2.253917"
"2931","423.2391_1.097667"
"2932","543.9998_1.251833"
"2933","549.3073_2.3495"
"2934","458.1862_2.787333"
"2935","466.3113_1.427583"
"2936","489.1987_1.677333"
"2937","337.2382_1.837667"
"2938","405.2646_2.516"
"2939","253.1084_1.6465"
"2940","373.1329_2.648583"
"2941","427.1799_1.547833"
"2942","542.2645_1.057583"
"2943","566.3101_2.46975"
"2944","225.1101_2.61775"
"2945","280.9944_0.7955"
"2946","511.0579_1.2025"
"2947","563.2491_1.3875"
"2948","554.3374_2.7565"
"2949","341.0547_2.405"
"2950","402.2136_1.7205"
"2951","488.1927_1.9795"
"2952","512.297_2.13675"
"2953","570.1953_1.578667"
"2954","233.1393_1.665"
"2955","325.0989_2.768833"
"2956","514.303_2.331"
"2957","522.2758_2.027292"
"2958","366.1464_1.800667"
"2959","415.2011_1.948667"
"2960","456.26_1.427583"
"2961","504.1895_0.7955"
"2962","543.3157_1.726667"
"2963","352.141_2.750333"
"2964","362.2425_2.306333"
"2965","316.1056_1.344333"
"2966","513.2684_2.398833"
"2967","623.2394_2.00725"
"2968","469.2233_2.849"
"2969","587.2817_2.085875"
"2970","582.3251_1.614125"
"2971","331.1501_2.781167"
"2972","463.1808_1.0915"
"2973","381.1382_1.332"
"2974","310.1666_1.7575"
"2975","335.2204_1.677333"
"2976","566.3057_1.998"
"2977","567.3203_2.17375"
"2978","538.2675_2.43275"
"2979","370.1773_1.907813"
"2980","430.1981_1.936333"
"2981","423.058_2.454333"
"2982","462.1776_1.085333"
"2983","310.1703_2.047333"
"2984","580.3121_1.732833"
"2985","612.3472_1.961"
"2986","319.1918_2.818167"
"2987","250.0663_2.479"
"2988","606.0164_1.21175"
"2989","527.2885_1.4245"
"2990","463.3067_2.768833"
"2991","401.2101_1.71125"
"2992","450.1567_1.874667"
"2993","577.2642_2.109"
"2994","567.3192_2.133667"
"2995","624.2709_1.208667"
"2996","487.0865_2.4605"
"2997","330.2369_2.633167"
"2998","411.1345_2.6825"
"2999","323.0038_1.418333"
"3000","579.3199_2.207667"
"3001","506.343_2.855167"
"3002","285.0439_1.973333"
"3003","477.2195_1.41525"
"3004","423.2103_2.445083"
"3005","544.282_0.851"
"3006","505.3398_2.8675"
"3007","628.3807_1.554"
"3008","347.1868_1.819167"
"3009","511.2917_2.084333"
"3010","637.3585_1.473833"
"3011","635.3425_1.985667"
"3012","361.069_2.4975"
"3013","369.1743_2.374167"
"3014","385.17_0.9373333"
"3015","463.2885_2.0165"
"3016","381.1213_0.7215"
"3017","482.2481_1.3875"
"3018","254.176_2.59"
"3019","567.3192_1.846917"
"3020","431.2297_1.076083"
"3021","399.0399_2.39575"
"3022","407.0987_2.664"
"3023","253.1446_2.546833"
"3024","369.1743_1.908583"
"3025","625.2372_2.08125"
"3026","538.2515_0.8964792"
"3027","370.1772_2.010333"
"3028","497.2724_1.967167"
"3029","532.2859_1.517"
"3030","479.2088_2.528333"
"3031","383.1538_1.307333"
"3032","547.3176_1.453792"
"3033","372.1751_1.9055"
"3034","411.1017_2.405"
"3035","480.2114_2.664"
"3036","643.3708_1.71125"
"3037","443.8601_1.353583"
"3038","554.3484_2.704083"
"3039","466.2526_2.374167"
"3040","291.1613_2.7935"
"3041","582.328_1.658833"
"3042","507.3311_2.466667"
"3043","271.1887_1.846917"
"3044","363.2512_2.318667"
"3045","550.2462_1.961"
"3046","561.213_2.614667"
"3047","587.2842_1.998"
"3048","283.1667_1.449167"
"3049","265.1066_2.39575"
"3050","449.2904_2.522167"
"3051","292.126_1.948667"
"3052","441.1575_1.554"
"3053","350.6549_0.6783333"
"3054","557.2578_2.463583"
"3055","431.1201_0.7831666"
"3056","625.2347_2.452792"
"3057","348.0548_1.177833"
"3058","424.2427_1.221"
"3059","451.1774_1.89625"
"3060","610.3568_2.232333"
"3061","539.2501_2.213833"
"3062","337.1355_0.7831666"
"3063","547.2603_2.583833"
"3064","227.1648_2.762667"
"3065","546.199_0.8479167"
"3066","265.1054_2.818167"
"3067","605.325_2.2385"
"3068","523.2902_2.7565"
"3069","637.36_1.399833"
"3070","480.2327_1.301167"
"3071","413.1172_2.676333"
"3072","551.3392_2.45125"
"3073","524.1871_1.476917"
"3074","321.0795_2.337167"
"3075","309.0299_0.9188334"
"3076","341.0699_2.670167"
"3077","638.2219_1.0545"
"3078","521.3364_2.545291"
"3079","501.2999_2.273958"
"3080","513.2166_1.882375"
"3081","591.2913_2.6825"
"3082","253.1447_2.620833"
"3083","524.0132_1.190167"
"3084","355.9481_1.159333"
"3085","498.2792_1.846917"
"3086","539.1882_2.78425"
"3087","446.9955_0.7215"
"3088","423.2392_1.196333"
"3089","401.2114_2.442"
"3090","331.25_2.827417"
"3091","599.3407_1.39675"
"3092","368.1618_2.808917"
"3093","269.0375_0.8756667"
"3094","551.2601_2.8305"
"3095","466.2513_1.665"
"3096","486.2582_1.190167"
"3097","543.0004_1.153167"
"3098","329.0908_1.754417"
"3099","588.4001_2.725667"
"3100","335.1868_2.5345"
"3101","638.4015_2.58075"
"3102","414.2095_1.649583"
"3103","644.3822_1.742083"
"3104","321.1331_2.121333"
"3105","336.2246_1.698917"
"3106","519.0145_1.245667"
"3107","329.1509_2.781167"
"3108","307.1096_1.708167"
"3109","483.251_1.381333"
"3110","571.1912_1.837667"
"3111","427.2599_1.702"
"3112","259.1094_0.8263333"
"3113","519.3176_2.4235"
"3114","267.9803_2.072"
"3115","501.2783_2.073542"
"3116","427.2701_1.436833"
"3117","429.0582_1.194792"
"3118","570.2983_1.734375"
"3119","568.3209_2.112083"
"3120","462.2887_1.871583"
"3121","246.0522_1.517"
"3122","485.2547_1.208667"
"3123","461.2841_2.723354"
"3124","361.2387_2.364917"
"3125","637.217_1.4985"
"3126","367.1595_2.827417"
"3127","516.2893_2.475917"
"3128","400.2065_2.503667"
"3129","463.2343_1.769833"
"3130","527.1874_1.381333"
"3131","285.1703_2.331"
"3132","469.2266_2.209208"
"3133","464.2371_1.689667"
"3134","482.2298_2.448167"
"3135","231.0637_2.010333"
"3136","641.3544_1.3875"
"3137","513.2977_2.084333"
"3138","367.2029_1.833042"
"3139","281.1786_2.46975"
"3140","492.1187_2.781167"
"3141","264.1701_2.559167"
"3142","259.1915_2.861333"
"3143","638.364_1.985667"
"3144","426.2585_2.892167"
"3145","446.2892_2.301708"
"3146","637.3601_1.8315"
"3147","257.1761_1.708167"
"3148","269.1399_1.698917"
"3149","387.1851_1.5725"
"3150","568.3203_1.85"
"3151","557.2603_1.233333"
"3152","548.3168_1.615667"
"3153","427.2005_1.846917"
"3154","352.1432_2.343333"
"3155","391.2837_2.594625"
"3156","480.2108_2.602333"
"3157","366.1465_1.8685"
"3158","229.0538_2.014958"
"3159","257.1759_1.739"
"3160","464.1924_1.332"
"3161","391.2498_1.985667"
"3162","383.1537_1.50775"
"3163","456.9451_0.7215"
"3164","378.1533_2.775"
"3165","529.2994_2.411167"
"3166","615.1696_2.781167"
"3167","468.2637_1.985667"
"3168","389.2682_2.448167"
"3169","443.2679_2.852083"
"3170","421.0571_2.4605"
"3171","332.1542_2.781167"
"3172","568.3196_2.186083"
"3173","393.1599_0.7430834"
"3174","519.2213_1.048333"
"3175","251.1654_2.503667"
"3176","639.236_1.406"
"3177","459.221_1.3505"
"3178","260.1123_0.8078333"
"3179","494.3156_2.714104"
"3180","417.1503_2.685583"
"3181","597.3273_1.621833"
"3182","321.2068_1.67425"
"3183","559.4003_2.65475"
"3184","429.1927_1.3505"
"3185","437.0093_1.19325"
"3186","638.3556_1.820708"
"3187","378.9919_1.301167"
"3188","255.0877_0.8325"
"3189","455.9724_1.159333"
"3190","331.1143_2.768833"
"3191","383.168_0.9866667"
"3192","463.2554_2.300167"
"3193","404.2575_1.977958"
"3194","467.7722_2.7565"
"3195","539.281_2.0165"
"3196","639.1771_1.060667"
"3197","517.3051_2.039625"
"3198","261.1499_2.836667"
"3199","479.2296_0.9095833"
"3200","489.2131_2.300167"
"3201","400.1782_1.732833"
"3202","490.2003_1.5725"
"3203","401.2007_1.689667"
"3204","280.0222_1.184"
"3205","467.1578_1.456875"
"3206","588.2878_2.059667"
"3207","480.2244_1.745167"
"3208","509.2792_1.930167"
"3209","466.3083_1.597167"
"3210","464.1759_1.621833"
"3211","546.3015_1.640333"
"3212","N-acetylated compounds (N-Acu)"
"3213","N-methylpipecolate"
"3214","N-octanoylglutamine"
"3215","Total cholesterol minus HDL-C"
"3216","335.1456_3.804833"
"3217","345.2437_5.303333"
"3218","347.2597_5.297167"
"3219","347.2598_5.620916"
"3220","351.2544_5.371167"
"3221","351.2545_5.247833"
"3222","365.2698_5.6795"
"3223","299.223_4.279667"
"3224","323.223_4.3105"
"3225","325.2386_4.921"
"3226","Omega-3 fatty acids"
"3227","Omega-6 fatty acids"
"3228","Omega-3 fatty acids (FAw3)"
"3229","otPUFA"
"3230","PA(39:0)_[M+H]1+"
"3231","PA(39:1)_[M+H]1+"
"3232","PA(40:5)_[M+OAc]1- / PG(39:5)_[M-H]1-"
"3233","PA(41:2)_[M+H]1+"
"3234","PA(43:4)_[M-H]1-"
"3235","PA(43:6)_[M-H]1-"
"3236","PA(44:6)_[M+OAc]1- / PG(43:6)_[M-H]1-"
"3237","PA(45:6)_[M-H]1-"
"3238","PC_31:2_[M+H]1+ / PE_34:2_[M+H]1+ / PA_36:3_[M+NH4]1+"
"3239","PC(33:3)_[M+H]1+ / PE(36:3)_[M+H]1+ / PA(38:4)_[M+NH4]1+"
"3240","PC(35:1)_[M+H]1+ / PE(38:1)_[M+H]1+ / PA(40:2)_[M+NH4]1+"
"3241","PC_35:6_[M+H]1+ / PE_38:6_[M+H]1+ / PA_40:7_[M+NH4]1+"
"3242","PC(36:4)_[M+H]1+ / PE(39:4)_[M+H]1+ / PA(41:5)_[M+NH4]1+"
"3243","PC_37:3_[M+OAc]1- / PS_41:2_[M-H]1-"
"3244","PC(38:4)_[M+H]1+ / PE(41:4)_[M+H]1+"
"3245","PC(38:4)_[M+OAc]1- / PS(42:3)_[M-H]1-"
"3246","PC_39:6_[M+OAc]1-"
"3247","PC(39:6)_[M+OAc]1- / PS(43:5)_[M-H]1-"
"3248","PC(40:8)_[M+H]1+"
"3249","PC(45:0)_[M-H]1-"
"3250","PC_52:4_[M+OAc]1-"
"3251","PC-2O_32:0_[M+H]1+"
"3252","PC-O_31:0_[M+H]1+ / PE-O_34:0_[M+H]1+"
"3253","PC-O(32:0)_[M+H]1+ / PE-O(35:0)_[M+H]1+"
"3254","PC-O_33:3_[M+H]1+ / PC-P_33:2_[M+H]1+ / PE-O_36:3_[M+H]1+"
"3255","PC-O_35:4_[M+OAc]1- / PC-P_35:3_[M+OAc]1-"
"3256","PC-O(36:5)_[M+H]1+ / PC-P(36:4)_[M+H]1+"
"3257","PC-O(39:1)_[M+H]1+ / PE-P(39:0)_[M+H]1+"
"3258","PC-O_42:6_[M+OAc]1- / PC-P_42:5_[M+OAc]1-"
"3259","PE_25:0_[M-H]1-"
"3260","PE_37:3_[M-H]1-"
"3261","PE_39:4_[M-H]1-"
"3262","PE(40:2)_[M-H]1-"
"3263","PE(40:7)_[M-H]1-"
"3264","PE-O_34:1_[M-H]1- / PE-P_34:0_[M-H]1-"
"3265","PE-O_34:3_[M-H]1- / PE-P_34:2_[M-H]1-"
"3266","PE-O_36:3_[M-H]1- / PE-P_36:2_[M-H]1-"
"3267","PE-O_36:4_[M-H]1- / PE-P_36:3_[M-H]1-"
"3268","PE-O_36:5_[M-H]1- / PE-P_36:4_[M-H]1-"
"3269","PE-O_38:3_[M-H]1- / PE-P_38:2_[M-H]1-"
"3270","PE-O(38:4)_[M-H]1- / PC-O(35:4)_[M-H]1- / PC-P(35:3)_[M-H]1-"
"3271","PE-O_38:5_[M-H]1- / PE-P_38:4_[M-H]1-"
"3272","PE-O_38:6_[M-H]1- / PE-P_38:5_[M-H]1-"
"3273","PE-O(38:6)_[M+H]1+ / PC-P(35:5)_[M+H]1+"
"3274","PE-O_40:4_[M-H]1- / PE-P_40:3_[M-H]1-"
"3275","PE-O_40:5_[M-H]1- / PE-P_40:4_[M-H]1-"
"3276","PE-O_40:6_[M-H]1- / PE-P_40:5_[M-H]1-"
"3277","PG(32:1)_[M+OAc]1-"
"3278","PG_35:3_[M-H]1-"
"3279","PG(35:3)_[M-H]1-"
"3280","PG-O_34:0_[M-H]1-"
"3281","PG-O_38:0_[M-H]1-"
"3282","PG-O_40:0_[M-H]1-"
"3283","PG-O_42:0_[M-H]1-"
"3284","Phosphoglycerides"
"3285","Phospholipids in chylomicrons (ultra-low density lipoproteins) and largest VLDL(CM-LAR-VLDL-PL)"
"3286","PI(32:1)_[M-H]1-"
"3287","PI_35:0_[M-H]1-"
"3288","PI_35:2_[M-H]1-"
"3289","PI(35:2)_[M-H]1-"
"3290","PI(36:0)_[M+OAc]1-"
"3291","PI(36:1)_[M+OAc]1-"
"3292","PI_38:0_[M-H]1-"
"3293","PI(38:6)_[M-H]1-"
"3294","PI(40:5)_[M-H]1-"
"3295","PI-O(33:0)_[M-H]1-"
"3296","PI-O_36:0_[M-H]1-"
"3297","PI-O(36:0)_[M-H]1- / PG(37:0)_[M+OAc]1-"
